iter	MultiClass
0	1.517073174
1	1.448024677
2	1.391888862
3	1.337795537
4	1.295768521
5	1.254703693
6	1.220686478
7	1.191141865
8	1.165533798
9	1.141860958
10	1.120513066
11	1.102643105
12	1.086418478
13	1.07229826
14	1.060793895
15	1.048944651
16	1.036987637
17	1.02802665
18	1.018103322
19	1.008753454
20	1.001147995
21	0.994491157
22	0.9881210175
23	0.9822626203
24	0.9777207999
25	0.9709894412
26	0.9659590091
27	0.9608071993
28	0.955459949
29	0.9510740711
30	0.9482981566
31	0.9447209719
32	0.9409408256
33	0.9375167464
34	0.9348046782
35	0.9318497794
36	0.9287251789
37	0.926042651
38	0.9241613411
39	0.9219912687
40	0.9199253509
41	0.9179442881
42	0.9161675038
43	0.9146776948
44	0.9130920917
45	0.9116920381
46	0.9107341374
47	0.9089210376
48	0.9067439134
49	0.9050337847
50	0.9028541472
51	0.9009802483
52	0.899627843
53	0.8987194337
54	0.8973891054
55	0.8961317564
56	0.8949347174
57	0.8942150233
58	0.8934540212
59	0.8927988271
60	0.8919614466
61	0.8906218388
62	0.8902403403
63	0.8889585935
64	0.8882835007
65	0.8877666149
66	0.8871516543
67	0.8861658018
68	0.8856715576
69	0.8852547404
70	0.8842025153
71	0.8831476423
72	0.8826431537
73	0.8814917319
74	0.8807620388
75	0.8797204971
76	0.8791234574
77	0.8782677689
78	0.8772661356
79	0.8766633675
80	0.876010697
81	0.8753932109
82	0.8744081809
83	0.8738092957
84	0.8726369678
85	0.8721893014
86	0.87151431
87	0.8707191801
88	0.8697618486
89	0.8690115688
90	0.8686012458
91	0.8678890565
92	0.8673362059
93	0.8662360078
94	0.8657531596
95	0.8651950748
96	0.8646389024
97	0.8637391955
98	0.8631863293
99	0.8625301981
100	0.8614767997
101	0.860769403
102	0.8603454636
103	0.8595452257
104	0.858862079
105	0.857967756
106	0.8575400533
107	0.856630364
108	0.8560233689
109	0.8552731654
110	0.854719497
111	0.8542336999
112	0.8536993677
113	0.8524392626
114	0.8516902496
115	0.8513150513
116	0.8505963122
117	0.8498738168
118	0.8492403886
119	0.8484715177
120	0.8481206643
121	0.8474893672
122	0.8466306038
123	0.84588705
124	0.8454287736
125	0.8447524808
126	0.8445383929
127	0.8437325008
128	0.8428569048
129	0.8421512584
130	0.8411062781
131	0.8403242616
132	0.83964774
133	0.8390670171
134	0.8384643744
135	0.8376202552
136	0.8372026358
137	0.8365677897
138	0.8357342179
139	0.8347822025
140	0.8337825769
141	0.8329142817
142	0.8324695708
143	0.8318869892
144	0.8310274408
145	0.8303372092
146	0.8298592474
147	0.8292024412
148	0.8286155483
149	0.8279162953
150	0.8272170447
151	0.8267026686
152	0.8262373663
153	0.8256234466
154	0.824650078
155	0.8242404508
156	0.8235709782
157	0.8229000701
158	0.822246284
159	0.8217609219
160	0.8210730765
161	0.8205942443
162	0.8202149637
163	0.8198202946
164	0.8190810533
165	0.8184548979
166	0.8179020546
167	0.8171698205
168	0.8168137446
169	0.8161655099
170	0.8155474094
171	0.8146652766
172	0.8142721521
173	0.8138568941
174	0.8131580352
175	0.8125918377
176	0.8121960046
177	0.8119179492
178	0.8114370827
179	0.8109896619
180	0.8102731262
181	0.8096460621
182	0.8091189747
183	0.8082242175
184	0.807526915
185	0.8071655385
186	0.8066065354
187	0.8059392447
188	0.8055386514
189	0.8049631914
190	0.8045675747
191	0.804175745
192	0.8037943702
193	0.8033316088
194	0.8029211604
195	0.8022899356
196	0.8019842382
197	0.8017722139
198	0.8009182641
199	0.8004491435
200	0.7999473629
201	0.799461214
202	0.7992410103
203	0.7986304476
204	0.7977832223
205	0.7975258545
206	0.7969722952
207	0.796719762
208	0.7962151998
209	0.7957946185
210	0.7949957146
211	0.7944633167
212	0.7942860959
213	0.7934721603
214	0.7930524166
215	0.7925528067
216	0.792117776
217	0.7912069154
218	0.7908764755
219	0.7901977252
220	0.7897748797
221	0.7890014994
222	0.7886576469
223	0.7882158775
224	0.7876767418
225	0.7872161127
226	0.7868226242
227	0.7864648743
228	0.786015421
229	0.7856218168
230	0.7852751968
231	0.784729662
232	0.7842090422
233	0.7838401266
234	0.7836296224
235	0.7834594722
236	0.7826766704
237	0.7822458525
238	0.7814059701
239	0.7810446407
240	0.7805954898
241	0.7799573928
242	0.77970266
243	0.7792713045
244	0.7789076641
245	0.7783937431
246	0.7779710598
247	0.7772470996
248	0.7771073059
249	0.7766126886
250	0.7760511691
251	0.7755486292
252	0.7751032523
253	0.7744962432
254	0.7739557788
255	0.7733765208
256	0.7730768139
257	0.7727418766
258	0.77262356
259	0.7722840961
260	0.7719701726
261	0.7714254494
